id,text,label,label_id,split,source
1,Can wet weather cause this condition on a corn plant?,cause,1,validation,synthetic_llm_assisted
2,Can a peach tree recover from the leaf problem?,treatment,2,train,synthetic_llm_assisted
3,Why did my grapevine develop the issue shown in the image?,cause,1,train,synthetic_llm_assisted
4,Is my corn plant safe to keep near healthy plants?,general,4,test,synthetic_llm_assisted
5,Can I still harvest from a cherry tree with this disease?,general,4,train,synthetic_llm_assisted
6,What preventive steps protect a potato plant from the diagnosed problem?,prevention,3,train,synthetic_llm_assisted
7,How does the leaf problem usually appear on a corn plant?,symptoms,0,train,synthetic_llm_assisted
8,Can wet weather cause the diagnosed problem on a apple tree?,cause,1,validation,synthetic_llm_assisted
9,What preventive steps protect a strawberry plant from the issue shown in the image?,prevention,3,train,synthetic_llm_assisted
10,How can I recognize this condition on my potato plant?,symptoms,0,train,synthetic_llm_assisted
11,How does a strawberry plant become affected by the infection?,cause,1,train,synthetic_llm_assisted
12,Should I change how I water a tomato plant with this plant disease?,treatment,2,train,synthetic_llm_assisted
13,Why did my tomato plant develop the issue shown in the image?,cause,1,validation,synthetic_llm_assisted
14,Can wet weather cause the issue shown in the image on a tomato plant?,cause,1,train,synthetic_llm_assisted
15,How does this disease usually appear on a grapevine?,symptoms,0,test,synthetic_llm_assisted
16,How does a pepper plant become affected by the issue shown in the image?,cause,1,train,synthetic_llm_assisted
17,What symptoms should I look for on my tomato plant?,symptoms,0,train,synthetic_llm_assisted
18,How does a apple tree become affected by this condition?,cause,1,train,synthetic_llm_assisted
19,What preventive steps protect a potato plant from the infection?,prevention,3,train,synthetic_llm_assisted
20,How serious is the issue shown in the image for a squash plant?,general,4,train,synthetic_llm_assisted
21,Should I change how I water a cherry tree with this disease?,treatment,2,train,synthetic_llm_assisted
22,How does a citrus tree become affected by the leaf problem?,cause,1,train,synthetic_llm_assisted
23,How does the diagnosed problem usually appear on a apple tree?,symptoms,0,train,synthetic_llm_assisted
24,What preventive steps protect a apple tree from the infection?,prevention,3,train,synthetic_llm_assisted
25,Should I change how I water a tomato plant with the infection?,treatment,2,validation,synthetic_llm_assisted
26,Can a plant recover from this disease?,treatment,2,train,synthetic_llm_assisted
27,Do I need to isolate my peach tree after this diagnosis?,treatment,2,train,synthetic_llm_assisted
28,How can I tell whether my plant has the issue shown in the image?,symptoms,0,train,synthetic_llm_assisted
29,Can wet weather cause this disease on a plant?,cause,1,train,synthetic_llm_assisted
30,Can a squash plant recover from this plant disease?,treatment,2,train,synthetic_llm_assisted
31,Should I change how I water a peach tree with the issue shown in the image?,treatment,2,train,synthetic_llm_assisted
32,How quickly can this disease progress on a pepper plant?,general,4,train,synthetic_llm_assisted
33,How should I water my apple tree to prevent this disease?,prevention,3,train,synthetic_llm_assisted
34,What is the safest way to manage the diagnosed problem?,treatment,2,test,synthetic_llm_assisted
35,What preventive steps protect a plant from the infection?,prevention,3,train,synthetic_llm_assisted
36,How quickly can this disease progress on a citrus tree?,general,4,train,synthetic_llm_assisted
37,How serious is this disease for a grapevine?,general,4,train,synthetic_llm_assisted
38,Can wet weather cause the issue shown in the image on a corn plant?,cause,1,train,synthetic_llm_assisted
39,Can wet weather cause this disease on a strawberry plant?,cause,1,validation,synthetic_llm_assisted
40,Can I still harvest from a citrus tree with this plant disease?,general,4,train,synthetic_llm_assisted
41,What actions are recommended after a diagnosis of the leaf problem?,treatment,2,train,synthetic_llm_assisted
42,What actions are recommended after a diagnosis of this disease?,treatment,2,train,synthetic_llm_assisted
43,How can I recognize this condition on my plant?,symptoms,0,test,synthetic_llm_assisted
44,Why did my peach tree develop the diagnosed problem?,cause,1,train,synthetic_llm_assisted
45,How can I recognize this disease on my cherry tree?,symptoms,0,train,synthetic_llm_assisted
46,How serious is the diagnosed problem for a peach tree?,general,4,train,synthetic_llm_assisted
47,How does the infection usually appear on a tomato plant?,symptoms,0,validation,synthetic_llm_assisted
48,Should I change how I water a pepper plant with the issue shown in the image?,treatment,2,train,synthetic_llm_assisted
49,Can a potato plant recover from this condition?,treatment,2,train,synthetic_llm_assisted
50,How quickly can this condition progress on a citrus tree?,general,4,train,synthetic_llm_assisted
51,Can this plant disease kill my tomato plant?,general,4,test,synthetic_llm_assisted
52,How quickly can the infection progress on a corn plant?,general,4,train,synthetic_llm_assisted
53,How can I recognize the leaf problem on my pepper plant?,symptoms,0,train,synthetic_llm_assisted
54,How can I recognize this disease on my citrus tree?,symptoms,0,train,synthetic_llm_assisted
55,How quickly can the diagnosed problem progress on a potato plant?,general,4,train,synthetic_llm_assisted
56,How serious is this plant disease for a corn plant?,general,4,train,synthetic_llm_assisted
57,What early warning signs should I check for on my pepper plant?,symptoms,0,train,synthetic_llm_assisted
58,How serious is the infection for a tomato plant?,general,4,train,synthetic_llm_assisted
59,How should I water my squash plant to prevent this disease?,prevention,3,validation,synthetic_llm_assisted
60,How does the infection usually appear on a pepper plant?,symptoms,0,train,synthetic_llm_assisted
61,Can I still harvest from a potato plant with the issue shown in the image?,general,4,train,synthetic_llm_assisted
